C 33.818958 19.185040 68.182585
C 33.609147 18.270611 66.979145
C 34.009896 16.827045 67.304259
C 33.797667 15.911508 66.092819
C 34.198410 14.467930 66.417936
C 33.988577 13.553497 65.214495
C 49.070749 64.024086 28.331336
C 48.361533 63.416752 27.124429
C 49.349178 63.133661 25.986624
C 48.632904 62.523593 24.776003
C 49.620554 62.240491 23.638192
C 48.911335 61.633135 22.431290
C 24.644805 28.602456 44.376003
C 24.292430 28.103022 42.977838
C 23.657430 26.708731 43.031775
C 23.304851 26.210480 41.625265
C 22.669837 24.816184 41.679200
C 22.317443 24.316760 40.281030
C 26.416237 69.976913 3.253049
C 25.641694 70.736275 2.179774
C 24.142317 70.768512 2.497593
C 23.367653 71.532235 1.417103
C 21.868267 71.564481 1.734928
C 21.093728 72.323865 0.661656
C 50.658547 59.734082 57.886535
C 51.861550 60.501294 58.427494
C 52.374171 61.520519 57.403491
C 53.582702 62.289232 57.950636
C 54.095323 63.308471 56.926632
C 55.298317 64.075699 57.467605
C 5.672368 60.662333 60.192026
C 4.438602 60.396301 59.334404
C 4.684439 60.790616 57.873493
C 3.442728 60.521856 57.015147
C 3.688568 60.916165 55.554224
C 2.454801 60.650112 54.696599
C 74.122324 55.523729 14.539197
C 74.245864 54.208292 15.302630
C 75.197897 53.241471 14.589136
C 75.319367 51.921181 15.359144
C 76.271413 50.954356 14.645652
C 76.394967 49.638922 15.409102
C 43.906702 37.860802 39.840457
C 45.334923 38.268975 39.491107
C 45.602330 39.729452 39.872791
C 47.038132 40.135713 39.520282
C 47.305546 41.596197 39.901977
C 48.733780 42.004361 39.552643
C 31.799154 3.560470 1.409861
C 31.374231 3.502123 2.874274
C 32.592936 3.489167 3.804204
C 32.161938 3.430528 5.274455
C 33.380650 3.417581 6.204394
C 32.955721 3.359255 7.668812
C 34.700777 5.482732 9.820470
C 34.643496 4.138961 9.099729
C 36.050111 3.631847 8.761424
C 35.988355 2.281695 8.037469
C 37.394979 1.774571 7.699169
C 37.337694 0.430785 6.978445
C 38.404069 22.380547 40.007330
C 39.342631 23.327628 39.265301
